model,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,hamming_loss_mean,hamming_loss_std,label_ranking_average_precision_mean,label_ranking_average_precision_std,threshold_mean_mean,threshold_mean_std
sentence_bert_logistic_regression,0.6386002299574656,0.027973373764988617,0.5990221175579377,0.027639804406159114,0.640468962866913,0.024189110007012432,0.0947088796371093,0.009177359915879146,0.8360710501670837,0.022539535407599818,0.5554545454545454,0.00931540978723597
hybrid_quantum_svm_fusion,0.6178251718828724,0.07491031974263683,0.5853733445105266,0.03409201018302505,0.6426742605835559,0.04045352004037984,0.10265954141552228,0.04755599417174389,0.804001154253205,0.02664760354451822,0.4463636363636364,0.028276965481810527
tfidf_linear_svm,0.6085012342864511,0.05882415177666448,0.5639856195856072,0.03085292756861645,0.6360878501365946,0.03543996758712315,0.10574473373516435,0.037754596179416296,0.8056371842632952,0.0262224139909317,0.4490909090909091,0.026967994498529692
tfidf_logistic_regression,0.6219007066738464,0.058831779095338155,0.5629337943472893,0.05324820918361434,0.6256733365974281,0.05116269570950136,0.09666003852606724,0.019455672884112152,0.7989840673111352,0.02401740683751314,0.4454545454545455,0.023399159411334098
