comparison,iterations,observed_macro_f1_difference,ci95_low,ci95_high,bootstrap_p_two_sided
hybrid_quantum_svm_fusion_vs_tfidf_linear_svm,2000,0.008091200749410499,-0.009977185554777829,0.02627657421225731,0.376
hybrid_quantum_svm_fusion_vs_tfidf_logistic_regression,2000,0.0019766467565719426,-0.0205236420077181,0.02271971199694938,0.918
hybrid_quantum_svm_fusion_vs_quantum_contrastive_projection,2000,0.14006730066263207,0.0740740163470563,0.21267677511828958,0.0
