model,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,hamming_loss_mean,hamming_loss_std,label_ranking_average_precision_mean,label_ranking_average_precision_std,threshold_mean
hybrid_alpha_0_15,0.6860077620881319,0.031218989741572015,0.6090562100401395,0.029275118344360078,0.6678830530180162,0.02780220707021338,0.07564469023799167,0.007226039239986662,0.8084778560184406,0.028022361004533827,0.45
hybrid_alpha_0_30,0.6838649999544779,0.033095843315976196,0.6084247848136768,0.02940086550873582,0.6658239580108706,0.0297674544486393,0.07684396942770148,0.007448251749746098,0.804001154253205,0.02664760354451822,0.45
hybrid_alpha_0_50,0.681361310550034,0.040376586073070375,0.6054335476636477,0.029948175281210576,0.6623480446476571,0.034879903285720104,0.07948176225688186,0.011305511833018828,0.8011757975385796,0.023173396393287887,0.45
svm_only_sublinear_tfidf,0.671315305113821,0.05534089171685415,0.5944705050259251,0.04085822829139511,0.6554129925310131,0.047681246416868814,0.08425713042937923,0.026299255500718235,0.8081415253501723,0.029077984718929757,0.44000000000000006
positive_projection_no_interference,0.5947946647256079,0.023758349084782256,0.5526444888717179,0.028452850232608885,0.5951608327733857,0.018914512621602556,0.11077176412104643,0.0233194869461115,0.7839319212533502,0.030949138675527083,0.7400000000000001
positive_projection_with_interference,0.5930535038733259,0.016591056557944704,0.5489867763981006,0.023731503802888437,0.5935954316259536,0.013796073308814046,0.1095724849313366,0.0212869007141378,0.7829829375929002,0.030430807625432578,0.78
contrastive_projection_no_interference,0.5447445695328132,0.04196001625991208,0.5396796798482608,0.03979108403439609,0.5777041052866175,0.04153705038296669,0.13387497669794318,0.009974879625410375,0.7183136714523422,0.052274610560484124,0.45
contrastive_projection_with_interference,0.42996463969887894,0.07831584108988043,0.4117649875602883,0.027528582145253718,0.4239918210489999,0.042389064117626093,0.2074069471198658,0.16335394265157585,0.6968230807982178,0.050338954288345054,0.48
