fold,model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
1,svm_only_sublinear_tfidf,0.45,0.7075471698113207,0.6131347429521872,0.6869387925018606,0.07319952774498228,0.8220392702535562
1,positive_projection_with_interference,0.9500000000000001,0.6082474226804123,0.558365590079145,0.6071486516073046,0.089728453364817,0.7955601937744796
1,contrastive_projection_no_interference,0.45,0.5909090909090909,0.5953811055350644,0.6289865720533283,0.12750885478158205,0.7800003748055698
1,contrastive_projection_with_interference,0.45,0.4968944099378882,0.5623052585373159,0.5836437745977219,0.1912632821723731,0.7840047038098988
1,hybrid_alpha_0_15,0.45,0.7075471698113207,0.6131347429521872,0.6869387925018606,0.07319952774498228,0.8222819568598789
1,hybrid_alpha_0_30,0.45,0.7169811320754716,0.6229309126527695,0.6958096436145789,0.07083825265643448,0.8115058282266074
1,hybrid_alpha_0_50,0.45,0.7333333333333333,0.637365669502387,0.710183317310578,0.06611570247933884,0.8031342334913764
2,svm_only_sublinear_tfidf,0.45,0.73,0.641679046575462,0.7071925287217642,0.0645933014354067,0.8462201906280855
2,positive_projection_with_interference,0.55,0.5776173285198556,0.5247622756243445,0.5744721033403948,0.13995215311004786,0.8280132148553203
2,contrastive_projection_no_interference,0.45,0.5853658536585366,0.5632488489877244,0.611835831302872,0.12200956937799043,0.7703251974633554
2,contrastive_projection_with_interference,0.45,0.576,0.5499315265794928,0.59645960259331,0.12679425837320574,0.7696673027265133
2,hybrid_alpha_0_15,0.45,0.73,0.641679046575462,0.7071925287217642,0.0645933014354067,0.8452907837776261
2,hybrid_alpha_0_30,0.45,0.7254901960784313,0.6391537940502094,0.7026951742244096,0.06698564593301436,0.8425338915470496
2,hybrid_alpha_0_50,0.45,0.7227722772277227,0.6118810667774821,0.6909491424783779,0.06698564593301436,0.8359706083390295
3,svm_only_sublinear_tfidf,0.45,0.6736842105263158,0.6130963312781494,0.6591473433057591,0.07416267942583732,0.8135212557909928
3,positive_projection_with_interference,0.8500000000000001,0.6030150753768844,0.5856023155729901,0.5983028256742724,0.09449760765550239,0.7798297827903092
3,contrastive_projection_no_interference,0.45,0.49372384937238495,0.4952509282548808,0.5280286724324607,0.14473684210526316,0.6749534821903245
3,contrastive_projection_with_interference,0.45,0.4979919678714859,0.49305451015249224,0.5280566157302229,0.14952153110047847,0.6758463393331816
3,hybrid_alpha_0_15,0.45,0.680628272251309,0.6246665792120337,0.6654479733687654,0.0729665071770335,0.8131113769271664
3,hybrid_alpha_0_30,0.45,0.6842105263157895,0.6264795810250356,0.6684098080137684,0.07177033492822966,0.8109706083390296
3,hybrid_alpha_0_50,0.45,0.6597938144329897,0.6061437077479859,0.643909006285244,0.07894736842105263,0.8099733234601656
4,svm_only_sublinear_tfidf,0.45,0.6597938144329897,0.5618037518037519,0.640328247803976,0.07894736842105263,0.7737546992481206
4,positive_projection_with_interference,0.8500000000000001,0.6037735849056604,0.5377226615671223,0.6037582686444064,0.10047846889952153,0.7593363142705251
4,contrastive_projection_no_interference,0.45,0.5299145299145299,0.5153930489099944,0.56011932123632,0.13157894736842105,0.6889007556770718
4,contrastive_projection_with_interference,0.45,0.4524590163934426,0.4780420234166764,0.4970962164234305,0.19976076555023922,0.6896782676387944
4,hybrid_alpha_0_15,0.45,0.6597938144329897,0.5618037518037519,0.640328247803976,0.07894736842105263,0.7759799593681174
4,hybrid_alpha_0_30,0.45,0.6597938144329897,0.5618037518037519,0.640328247803976,0.07894736842105263,0.7763585099111415
4,hybrid_alpha_0_50,0.45,0.6597938144329897,0.5596600251991372,0.636839836614052,0.07894736842105263,0.7720931115667958
5,svm_only_sublinear_tfidf,0.4,0.5855513307984791,0.5426386525200755,0.5834580503217058,0.1303827751196172,0.785172210830106
5,positive_projection_with_interference,0.7000000000000001,0.5726141078838174,0.5384810391469009,0.5842953088633898,0.12320574162679426,0.7521751822738667
5,contrastive_projection_no_interference,0.45,0.5238095238095238,0.5291244675536401,0.5595501294081068,0.14354066985645933,0.6773885471253892
5,contrastive_projection_with_interference,0.45,0.43870967741935485,0.4885099748736112,0.4989713091654839,0.20813397129186603,0.6735508278271436
5,hybrid_alpha_0_15,0.45,0.6568627450980392,0.6073646869322346,0.6452897846826938,0.08373205741626795,0.785725203159414
5,hybrid_alpha_0_30,0.45,0.6538461538461539,0.6057168008015897,0.6429177943461907,0.0861244019138756,0.7811564897091214
5,hybrid_alpha_0_50,0.45,0.6507177033492823,0.6047593155204876,0.6384365990833969,0.08732057416267942,0.7823578833447256
