explainer,top_k,random_trials,evaluated_label_assignments,mean_base_score,mean_top_deleted_score,mean_random_deleted_score,mean_comprehensiveness,mean_random_comprehensiveness,mean_sufficiency,mean_random_sufficiency,comprehensiveness_ratio,sufficiency_ratio
contrastive_projection_intrinsic,3,50,158,0.4786092359772064,0.4480870901407136,0.47274921590134406,0.03052214583649288,0.005860020075862395,-0.03947225822467101,0.03367734192533448,5.208539465967795,-1.172071665043647
svm_tfidf_coefficients,3,50,158,0.4924641220104791,0.4058083993848088,0.47087669671551435,0.08665572262567035,0.021587425294964796,0.048366408458449785,0.11407345793205106,4.014175912209528,0.4239935330728704
