name,n,mean_diff,std_diff,dz,rbc,w_p,t_p
Hybrid vs TF-IDF Linear SVM (main text),5,0.0035185023656178816,0.004790631372562961,0.7344548331915388,0.7333333333333333,0.1875,0.17587429606525382
Hybrid vs TF-IDF Logistic Regression (main text),5,0.010711610822939565,0.020008732913369385,0.535346784292488,0.4666666666666667,0.4375,0.2973711951117293
Hybrid vs Sentence-BERT (main text),5,-0.0036853008714595736,0.019846158296146863,-0.18569341312646265,-0.2,0.8125,0.6992845220126096
ISOLATED QUANTUM CONTRIBUTION: Hybrid a=0.30 vs SVM-only (same TF-IDF backbone),5,0.013954279787751678,0.028195158381945015,0.49491758828662613,0.6,0.3125,0.3305092722844812
Hybrid vs pure Quantum Contrastive Projection (value of fusion),5,0.19665979725338872,0.029833749368874358,6.591856585701712,1.0,0.0625,0.00012330201371697685
Pure Quantum Contrastive Projection vs TF-IDF Linear SVM (quantum alone),5,-0.19314129488777082,0.03260608285797563,-5.923474332352296,-1.0,0.0625,0.00018774984284222472
Pure Quantum Positive Projection vs TF-IDF Linear SVM (quantum alone),5,-0.05591950604995841,0.041089675616208785,-1.360913787012221,-1.0,0.0625,0.0382859929631869
Interference effect on Positive Projection,5,-0.003657712473617303,0.017442184799616397,-0.20970494898653674,-0.2,0.8125,0.66354617796529
Interference effect on Contrastive Projection,5,-0.12791469228797267,0.04428697829533638,-2.8883138387755545,-1.0,0.0625,0.0029595414231618333
