fold,model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
1,finetuned_distilbert_base_uncased,0.5545454545454547,0.48253968253968255,0.4838796372172495,0.520400447919109,0.19244391971664698,0.6888223609002831
2,finetuned_distilbert_base_uncased,0.5681818181818182,0.6160714285714286,0.5813458799386185,0.6311804407691184,0.10287081339712918,0.6887531328320804
3,finetuned_distilbert_base_uncased,0.5545454545454546,0.5258964143426295,0.477521611824878,0.5461204236584473,0.1423444976076555,0.7914630325814538
4,finetuned_distilbert_base_uncased,0.5318181818181819,0.5,0.514491026514487,0.5542338998649678,0.15311004784688995,0.6568922305764413
5,finetuned_distilbert_base_uncased,0.5818181818181819,0.5855855855855856,0.6091444550852093,0.6114640350031404,0.11004784688995216,0.7265820802005014
