model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
label_frequency_baseline,0.05,0.22206605762473647,0.2166158709321863,0.2657020460176225,0.8750988142292491,0.4182734174038524
tfidf_logistic_regression,0.45,0.6298701298701299,0.5266404439923814,0.6070722719652927,0.09011857707509881,0.7861438923395445
tfidf_linear_svm,0.45,0.621160409556314,0.5205258899995429,0.5991509283901827,0.08774703557312254,0.7842783424305164
sentence_bert_logistic_regression,0.5,0.6666666666666666,0.6049331698112187,0.6672741289104364,0.09011857707509881,0.8285544514656067
quantum_inspired_projection,0.8500000000000001,0.6075949367088608,0.5617857452766805,0.6048989502476871,0.09802371541501977,0.7694102515841647
quantum_contrastive_projection,0.5,0.49074074074074076,0.3885497900863213,0.4475046226520079,0.08695652173913043,0.6818173975782672
hybrid_quantum_svm_fusion,0.45,0.6283783783783784,0.5286170907489534,0.6046438682651153,0.08695652173913043,0.777859181880921
