model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
tfidf_logistic_regression,0.45,0.6298701298701299,0.5266404439923814,0.6070722719652927,0.09011857707509881,0.7861438923395445
tfidf_linear_svm,0.45,0.621160409556314,0.5205258899995429,0.5991509283901827,0.08774703557312254,0.7842783424305164
quantum_contrastive_projection,0.5,0.49074074074074076,0.3885497900863213,0.4475046226520079,0.08695652173913043,0.6818173975782672
hybrid_quantum_svm_fusion,0.45,0.6283783783783784,0.5286170907489534,0.6046438682651153,0.08695652173913043,0.777859181880921
