fold,model,threshold_mean,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
1,tfidf_logistic_regression,0.440909090909091,0.6754385964912281,0.6165543896094181,0.6699677483218139,0.08736717827626919,0.798734796949083
1,tfidf_linear_svm,0.440909090909091,0.6637168141592921,0.6005941226529462,0.664113077171356,0.089728453364817,0.8055431401210623
1,hybrid_quantum_svm_fusion,0.45,0.6909090909090909,0.6321796498218012,0.6893275279367094,0.08028335301062574,0.8093413260621053
1,sentence_bert_logistic_regression,0.5590909090909091,0.6228070175438597,0.5718452491179765,0.6183063090470498,0.10153482880755609,0.8295871516650738
2,tfidf_logistic_regression,0.4181818181818182,0.6637931034482759,0.6219925355016337,0.6845121608729478,0.09330143540669857,0.8368478013214858
2,tfidf_linear_svm,0.4227272727272728,0.5347222222222222,0.5692583513286796,0.6730595280670243,0.16028708133971292,0.8459852282220706
2,hybrid_quantum_svm_fusion,0.4,0.5047923322683706,0.5896758962371438,0.6629532654094605,0.1854066985645933,0.8426174337358551
2,sentence_bert_logistic_regression,0.5454545454545455,0.6244343891402715,0.6010212368408939,0.6360654615962256,0.09928229665071771,0.8330936242120454
3,tfidf_logistic_regression,0.48181818181818187,0.6285714285714286,0.5348765882675399,0.6039047773405405,0.07775119617224881,0.8028143274853804
3,tfidf_linear_svm,0.45909090909090916,0.6557377049180327,0.5728526656756322,0.6456407063494087,0.07535885167464115,0.8117955874534822
3,hybrid_quantum_svm_fusion,0.45454545454545453,0.6702127659574468,0.600666088823741,0.6581551673445799,0.07416267942583732,0.8103127136021874
3,sentence_bert_logistic_regression,0.5454545454545455,0.6857142857142857,0.6245725070435927,0.6770780250707381,0.07894736842105263,0.8612573099415206
4,tfidf_logistic_regression,0.4500000000000001,0.6153846153846154,0.5380973493133202,0.6101157678173872,0.09569377990430622,0.7780215216070483
4,tfidf_linear_svm,0.49090909090909096,0.6309523809523809,0.5154456654456654,0.5979308178337305,0.07416267942583732,0.7804938482570064
4,hybrid_quantum_svm_fusion,0.4772727272727273,0.6390532544378699,0.5529675612563314,0.6141672623968455,0.0729665071770335,0.7759199134199135
4,sentence_bert_logistic_regression,0.5636363636363636,0.6175115207373272,0.5700229125930886,0.620628185829447,0.09928229665071771,0.80347791828055
5,tfidf_logistic_regression,0.43636363636363645,0.5263157894736842,0.5031481090445346,0.5598662286344512,0.1291866028708134,0.7785018891926789
5,tfidf_linear_svm,0.4318181818181818,0.5573770491803278,0.5617772928251125,0.599695121261454,0.1291866028708134,0.7843681172628544
5,hybrid_quantum_svm_fusion,0.45,0.5841584158415841,0.5513775264136159,0.5887680798301845,0.10047846889952153,0.7818143844459635
5,sentence_bert_logistic_regression,0.5636363636363637,0.6425339366515838,0.6276486821941368,0.6502668327911045,0.09449760765550239,0.8529396407685883
