model,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,hamming_loss_mean,hamming_loss_std,label_ranking_average_precision_mean,label_ranking_average_precision_std,threshold_mean
hybrid_quantum_svm_fusion,0.6880643645497672,0.03248782205128317,0.6112169680666713,0.030093802848374873,0.6700321336005847,0.028946046406397155,0.07493320077052135,0.007604151386679602,0.80450506554659,0.0268066694893894,0.45
tfidf_linear_svm,0.6820961452571682,0.0404742511646329,0.604906282448059,0.03358685871799027,0.665000785624315,0.03530821519901951,0.07636550052817995,0.009442477231025764,0.8056371842632952,0.0262224139909317,0.45
tfidf_logistic_regression,0.6786697109638113,0.04629334078608878,0.5977131739907373,0.02288268038952955,0.6590136202555957,0.036731723112883356,0.07589013856956442,0.013991842844346077,0.7989840673111352,0.02401740683751314,0.47000000000000003
quantum_inspired_projection,0.5930535038733259,0.016591056557944704,0.5489867763981006,0.023731503802888437,0.5935954316259536,0.013796073308814046,0.1095724849313366,0.0212869007141378,0.7829829375929002,0.030430807625432578,0.78
quantum_contrastive_projection,0.49241101432443435,0.053661816334014026,0.5143686587119177,0.03874669038873902,0.5408455037020338,0.04678574555400252,0.17509476169763252,0.03517225794421928,0.7185494882671064,0.05380381479898166,0.45
label_frequency_baseline,0.23277745614398665,0.003410867319324381,0.2083131343621217,0.0032036439616743005,0.25944430236896493,0.005315512493293381,0.7926551916982538,0.001920921336465614,0.4058918079338447,0.011017880543816532,0.05
